train_number,train_name,from_station_code,departure,to_station_code,arrival,distance,duration_hours,duration_minutes,sleeper,chair_car,first_class,first_ac,second_ac,third_ac,return_train,train_type,total_seats
56006,Chengalpattu_arakkonam_passenger,CGL,8:15:00,AJJ,9:45:00,63,1,30,0,0,0,0,0,0,56005,PASS,327
56007,Arakkonam_katpadi_passenger,AJJ,20:40:00,KPD,22:15:00,61,1,35,0,0,0,0,0,0,56008,PASS,445
56008,Katpadi_arakkonam_passenger,KPD,4:30:00,AJJ,6:15:00,61,1,45,0,0,0,0,0,0,56007,PASS,412
56009,Arakkonam_vellore_cantt_passenger,AJJ,7:05:00,VLR,9:05:00,71,2,0,0,0,0,0,0,0,56010,PASS,369
56010,Vellore_cantt._arakkonam_passenger,VLR,16:10:00,AJJ,18:45:00,71,2,35,0,0,0,0,0,0,56009,PASS,379
56011,Arakkonam_nandalur_passenger,AJJ,7:05:00,NRE,12:45:00,155,5,40,0,0,0,0,0,0,56012,PASS,420
56012,Nandalur_arakkonam_passenger,NRE,13:25:00,AJJ,20:05:00,155,6,40,0,0,0,0,0,0,56011,PASS,436
56013,Arakkonam_vellore_cantt_passenger,AJJ,12:30:00,VLR,14:35:00,71,2,5,0,0,0,0,0,0,56014,PASS,387
56014,Vellore_cantt_arakkonam_passenger,VLR,9:25:00,AJJ,11:50:00,71,2,25,0,0,0,0,0,0,56013,PASS,451
56037,Chennai_pondicherry_passenger,MS,6:35:00,PDY,11:05:00,196,4,30,0,0,0,0,0,0,56038,PASS,357
56038,Pondicherry_chennai_passenger,PDY,14:40:00,MS,19:45:00,196,5,5,0,0,0,0,0,0,56037,PASS,459
56039,Kumbakonam_thanjavur_passenger,KMU,8:05:00,TJ,9:15:00,39,1,10,0,0,0,0,0,0,56040,PASS,327
56040,Thanjavur_kumbakonam_passenger,TJ,18:05:00,KMU,19:30:00,39,1,25,0,0,0,0,0,0,56039,PASS,475
56041,Tirupati_pondicherry_passenger,TPTY,4:25:00,PDY,13:15:00,284,8,50,0,0,0,0,0,0,56042,PASS,399
56042,Puducherry_tirupati_passenger,PDY,13:50:00,TPTY,22:40:00,284,8,50,0,0,0,0,0,0,56041,PASS,382
56043,Guruvayur_thrissur_passenger,GUV,17:05:00,TCR,17:40:00,23,0,35,0,0,0,0,0,0,56044,PASS,437
56044,Thrissur_guruvayur_passenger,TCR,18:55:00,GUV,19:30:00,23,0,35,0,0,0,0,0,0,56043,PASS,301
56045,Nagercoil_cape_passenger,NCJ,16:00:00,CAPE,16:20:00,15,0,20,0,0,0,0,0,0,56046,PASS,342
56046,Kanyakumari_nagercoil_passenger,CAPE,7:20:00,NCJ,7:45:00,15,0,25,0,0,0,0,0,0,56045,PASS,437
56100,Erode_metur_dam_passenger,ED,,MTDM,,,,,0,0,0,0,0,0,56101,PASS,370
56101,Metur_dam_erode_passenger,MTDM,,ED,,,,,1,0,0,0,0,0,56100,PASS,461
56102,Salem_mtdm_passenger,SA,17:30:00,MTDM,18:45:00,39,1,15,0,0,0,0,0,0,56103,PASS,338
56103,Mettur_dam_salem_passenger,MTDM,9:05:00,SA,10:35:00,39,1,30,0,0,0,0,0,0,56102,PASS,306
56136,Mettupalayam_ooty_passenger,MTP,7:10:00,UAM,12:00:00,46,4,50,0,0,1,0,0,0,56137,PASS,416
56137,Ooty_mettupalayam_passenger,UAM,14:00:00,MTP,17:35:00,46,3,35,0,0,1,0,0,0,56136,PASS,418
56138,Coonoor_udagamandalam_passenger,ONR,16:30:00,UAM,17:45:00,19,1,15,0,0,1,0,0,0,56139,PASS,420
56139,Coonoor_passenger,UAM,9:15:00,ONR,10:25:00,19,1,10,0,0,1,0,0,0,56138,PASS,318
56140,Udagamandalam_coonoor_passenger,UAM,18:00:00,ONR,19:10:00,19,1,10,0,0,0,0,0,0,56141,PASS,304
56141,Coonoor_udagamandalam_passenger,ONR,7:45:00,UAM,9:05:00,19,1,20,0,0,0,0,0,0,56142,PASS,305
56142,(ooty)udagamandalam_coonoor_passenger,UAM,12:15:00,ONR,13:20:00,19,1,5,0,0,0,0,0,0,56141,PASS,489
56143,Udhagamandalam_passenger,ONR,12:35:00,UAM,13:50:00,19,1,15,0,0,0,0,0,0,56142,PASS,359
56144,Coimbatore_mettupalaiyam_passenger,CBE,17:55:00,MTP,18:45:00,35,0,50,0,0,0,0,0,0,56145,PASS,430
56145,Mettupalaiyam_coimbatore_passenger,MTP,8:15:00,CBE,9:10:00,35,0,55,0,0,0,0,0,0,56144,PASS,351
56146,Coimbatore_mettupalayam_passenger,CBE,9:30:00,MTP,10:20:00,35,0,50,0,0,0,0,0,0,56145,PASS,442
56147,Mettupalayam_coimbatore_passenger,MTP,10:40:00,CBE,11:30:00,35,0,50,0,0,0,0,0,0,56148,PASS,424
56148,Coimbatoremettupalayam_passenger,CBE,12:00:00,MTP,12:50:00,35,0,50,0,0,0,0,0,0,56147,PASS,490
56149,Mettupalayamcoimbatore_passenger,MTP,13:10:00,CBE,14:00:00,35,0,50,0,0,0,0,0,0,56148,PASS,331
56150,Coimbatoremettupalayam_passenger,CBE,15:00:00,MTP,15:50:00,35,0,50,0,0,0,0,0,0,56149,PASS,426
56151,Mettupalayamcoimbatore_passenger,MTP,16:20:00,CBE,17:10:00,35,0,50,0,0,0,0,0,0,56150,PASS,391
56201,Chamrajnagar_mysore_passenger,CMNR,7:10:00,MYS,9:00:00,61,1,50,0,0,0,0,0,0,56202,PASS,372
56202,Mysore_chamrajnagar_passenger,MYS,5:00:00,CMNR,6:45:00,61,1,45,0,0,0,0,0,0,56201,PASS,347
56203,Chamarajnagar_mysore_passenger,CMNR,11:10:00,MYS,13:00:00,61,1,50,0,0,0,0,0,0,56202,PASS,467
56204,Mysore_chamrajnagar_passenger,MYS,7:20:00,CMNR,9:10:00,61,1,50,0,0,0,0,0,0,56203,PASS,488
56205,Nanjangud_mysore_passenger,NTW,10:45:00,MYS,11:40:00,25,0,55,0,0,0,0,0,0,56206,PASS,474
56206,Nanjangud_mysore_passenger,MYS,9:15:00,NTW,10:00:00,25,0,45,0,0,0,0,0,0,56205,PASS,475
56209,Chamrajnagar_mysore_passenger,CMNR,18:00:00,MYS,19:50:00,61,1,50,0,0,0,0,0,0,56210,PASS,411
